Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day
2023-05-31,Lincoln,WA,Truck,0,0,0,4856,4856,0.0,2023,5,31
2023-05-31,Garfield,WA,Truck,0,0,0,977,977,0.0,2023,5,31
2023-05-31,Thurston,WA,Truck,57,0,57,54027,54084,0.11,2023,5,31
2023-05-31,Shasta,CA,Passenger,1,0,1,24,25,4.0,2023,5,31
2023-05-31,Clallam,WA,Truck,20,0,20,21760,21780,0.09,2023,5,31
2023-05-31,Prince William,VA,Passenger,1,2,3,167,170,1.76,2023,5,31
2023-05-31,Multnomah,OR,Passenger,1,2,3,455,458,0.66,2023,5,31
2023-05-31,Broward,FL,Passenger,1,0,1,66,67,1.49,2023,5,31
2023-05-31,Adams,WA,Truck,2,0,2,5338,5340,0.04,2023,5,31
2023-05-31,Hamilton,OH,Truck,1,0,1,3,4,25.0,2023,5,31
2023-05-31,Pend Oreille,WA,Passenger,30,11,41,8894,8935,0.46,2023,5,31
2023-05-31,Spokane,WA,Passenger,2228,1063,3291,322519,325810,1.01,2023,5,31
2023-05-31,Miami-Dade,FL,Passenger,1,0,1,59,60,1.67,2023,5,31
2023-05-31,Pierce,WA,Passenger,7416,2715,10131,531466,541597,1.87,2023,5,31
2023-05-31,Spokane,WA,Truck,38,0,38,101779,101817,0.04,2023,5,31
2023-05-31,Fulton,GA,Passenger,1,0,1,59,60,1.67,2023,5,31
2023-05-31,Grant,WA,Truck,10,0,10,28018,28028,0.04,2023,5,31
2023-05-31,Ventura,CA,Passenger,3,2,5,212,217,2.3,2023,5,31
2023-05-31,Muscogee,GA,Passenger,0,1,1,100,101,0.99,2023,5,31
2023-05-31,Washington,OR,Passenger,1,0,1,242,243,0.41,2023,5,31
2023-05-31,Jefferson,NY,Passenger,2,1,3,191,194,1.55,2023,5,31
2023-05-31,Jefferson,WA,Passenger,551,260,811,24300,25111,3.23,2023,5,31
2023-05-31,Ulster,NY,Passenger,1,0,1,8,9,11.11,2023,5,31
2023-05-31,Allen,IN,Passenger,1,0,1,13,14,7.14,2023,5,31
2023-05-31,Pulaski,AR,Passenger,3,0,3,22,25,12.0,2023,5,31
2023-05-31,Dorchester,SC,Passenger,1,0,1,47,48,2.08,2023,5,31
2023-05-31,Lincoln,OR,Passenger,0,1,1,14,15,6.67,2023,5,31
2023-05-31,Hamilton,OH,Passenger,1,0,1,31,32,3.12,2023,5,31
